"Area_unit","AGE_0_4","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_29","AGE_30_34","AGE_35_39","AGE_40_44","AGE_45_49","AGE_50_54","AGE_55_59","AGE_60_64","AGE_65_OVER","AGE_TOTAL","AGE_10_14_im","AGE_15_19_im","AGE_20_24_im","AGE_25_29_im","AGE_30_34_im","AGE_35_39_im","AGE_40_44_im","AGE_45_49_im","AGE_50_54_im","AGE_55_59_im","AGE_60_64_im","AGE_65_OVER_im","AGE_TOTAL_im","AGE_TOTAL_hayman","Percent_Immune"
"Snells Beach",186,222,186,213,135,123,135,150,213,240,237,216,300,999,3552,149.916,174.234,106.11,106.272,124.2,138,195.96,220.8,204.48,213.84,297,989.01,2919.822,3147,0.927811248808389
"Algies Bay",36,27,27,21,21,12,15,33,39,18,30,45,69,288,687,21.762,17.178,16.506,10.368,13.8,30.36,35.88,16.56,27.252,44.55,68.31,285.12,587.646,618,0.950883495145631
"Mahurangi",21,21,24,12,9,12,12,15,21,24,24,33,36,90,354,19.344,9.816,7.074,10.368,11.04,13.8,19.32,22.08,22.752,32.67,35.64,89.1,293.004,312,0.939115384615385
"South Head",69,99,96,96,63,33,48,81,108,147,153,114,120,237,1467,77.376,78.528,49.518,28.512,44.16,74.52,99.36,135.24,122.472,112.86,118.8,234.63,1175.976,1296,0.907388888888889
"Parakai Rural",39,39,45,45,27,24,24,36,60,48,48,42,30,69,573,36.27,36.81,21.222,20.736,22.08,33.12,55.2,44.16,44.316,41.58,29.7,68.31,453.504,498,0.910650602409639
"Parakai Urban",90,96,57,54,51,63,69,60,78,66,69,54,48,201,1047,45.942,44.172,40.086,54.432,63.48,55.2,71.76,60.72,60.66,53.46,47.52,198.99,796.422,870,0.915427586206897
"Kaukapakapa Rural",159,198,210,168,111,84,93,162,258,261,216,165,138,261,2478,169.26,137.424,87.246,72.576,85.56,149.04,237.36,240.12,202.392,163.35,136.62,258.39,1939.338,2127,0.911771509167842
"Kaukapakapa",27,36,42,30,15,33,24,36,51,48,36,27,18,33,444,33.852,24.54,11.79,28.512,22.08,33.12,46.92,44.16,36.504,26.73,17.82,32.67,358.698,393,0.912717557251909
"Helensville South",30,39,45,39,15,9,24,42,63,66,51,36,36,75,567,36.27,31.902,11.79,7.776,22.08,38.64,57.96,60.72,45.972,35.64,35.64,74.25,458.64,501,0.915449101796407
"Rewiti",108,138,174,144,108,75,78,114,186,222,177,135,96,240,1995,140.244,117.792,84.888,64.8,71.76,104.88,171.12,204.24,166.608,133.65,95.04,237.6,1592.622,1749,0.910590051457976
"Riverhead",174,246,288,222,159,114,108,195,291,339,288,270,192,306,3195,232.128,181.596,124.974,98.496,99.36,179.4,267.72,311.88,273.024,267.3,190.08,302.94,2528.898,2772,0.912300865800866
"Muriwai Beach",102,87,75,51,33,54,93,108,105,117,90,78,36,105,1131,60.45,41.718,25.938,46.656,85.56,99.36,96.6,107.64,79.38,77.22,35.64,103.95,860.112,945,0.910171428571429
"Muriwai Valley",60,57,45,63,42,30,39,48,57,60,69,51,36,63,726,36.27,51.534,33.012,25.92,35.88,44.16,52.44,55.2,55.908,50.49,35.64,62.37,538.824,603,0.893572139303483
"Waitakere West",30,39,51,36,39,18,36,45,51,51,57,57,51,54,603,41.106,29.448,30.654,15.552,33.12,41.4,46.92,46.92,51.66,56.43,50.49,53.46,497.16,546,0.91054945054945
"Point Wells",12,18,24,12,15,9,9,18,30,27,24,33,30,123,384,19.344,9.816,11.79,7.776,8.28,16.56,27.6,24.84,22.752,32.67,29.7,121.77,332.898,354,0.940389830508474
"Omaha",39,48,21,27,6,15,15,45,36,39,51,45,81,153,624,16.926,22.086,4.716,12.96,13.8,41.4,33.12,35.88,36.468,44.55,80.19,151.47,493.566,534,0.924280898876405
"Matakana",21,24,33,18,6,12,9,15,24,24,27,12,18,45,291,26.598,14.724,4.716,10.368,8.28,13.8,22.08,22.08,27.972,11.88,17.82,44.55,224.868,243,0.925382716049383
"Cape Rodney",213,234,237,186,129,102,150,144,198,225,276,207,204,420,2928,191.022,152.148,101.394,88.128,138,132.48,182.16,207,246.204,204.93,201.96,415.8,2261.226,2478,0.912520581113802
"Cape Rodney South",120,177,207,165,129,87,90,126,192,237,255,237,270,534,2820,166.842,134.97,101.394,75.168,82.8,115.92,176.64,218.04,222.732,234.63,267.3,528.66,2325.096,2529,0.919373665480427
"Helensville",192,225,201,183,135,120,120,180,246,195,180,141,141,381,2643,162.006,149.694,106.11,103.68,110.4,165.6,226.32,179.4,178.956,139.59,139.59,377.19,2038.536,2223,0.91702024291498
"Awaruku",219,249,249,333,237,132,183,237,336,297,291,192,219,438,3618,200.694,272.394,186.282,114.048,168.36,218.04,309.12,273.24,259.236,190.08,216.81,433.62,2841.924,3144,0.903919847328244
"Glamorgan",243,225,255,252,207,171,201,261,291,267,222,225,165,321,3309,205.53,206.136,162.702,147.744,184.92,240.12,267.72,245.64,223.524,222.75,163.35,317.79,2587.926,2838,0.911883720930233
"Torbay",267,300,336,393,252,198,246,282,417,399,375,321,294,816,4899,270.816,321.474,198.072,171.072,226.32,259.44,383.64,367.08,340.056,317.79,291.06,807.84,3954.66,4329,0.913527373527374
"Waiake",282,258,303,324,252,207,240,294,372,354,288,288,249,630,4350,244.218,265.032,198.072,178.848,220.8,270.48,342.24,325.68,278.964,285.12,246.51,623.7,3479.664,3801,0.915460142067877
"Browns Bay",228,249,228,270,261,198,210,267,339,339,285,306,252,810,4242,183.768,220.86,205.146,171.072,193.2,245.64,311.88,311.88,247.608,302.94,249.48,801.9,3445.374,3765,0.915105976095618
"Oaktree",279,261,357,381,339,252,282,285,387,393,354,297,234,471,4578,287.742,311.658,266.454,217.728,259.44,262.2,356.04,361.56,336.78,294.03,231.66,466.29,3651.582,4032,0.905650297619048
"Rothesay Bay",309,354,390,411,384,225,282,297,477,513,438,390,321,648,5436,314.34,336.198,301.824,194.4,259.44,273.24,438.84,471.96,396.216,386.1,317.79,641.52,4331.868,4776,0.907007537688442
"Murrays Bay",234,258,306,426,372,213,186,237,357,384,480,369,297,582,4704,246.636,348.468,292.392,184.032,171.12,218.04,328.44,353.28,386.136,365.31,294.03,576.18,3764.064,4209,0.894289379900214
"Mairangi Bay",282,369,393,396,372,210,201,276,447,441,438,399,318,807,5349,316.758,323.928,292.392,181.44,184.92,253.92,411.24,405.72,397.404,395.01,314.82,798.93,4276.482,4698,0.910277139208174
"Campbells Bay",90,180,195,210,144,84,66,117,171,222,216,174,153,393,2418,157.17,171.78,113.184,72.576,60.72,107.64,157.32,204.24,196.452,172.26,151.47,389.07,1953.882,2145,0.910900699300699
"Castor Bay",138,165,207,222,195,135,117,141,189,246,297,258,210,486,3003,166.842,181.596,153.27,116.64,107.64,129.72,173.88,226.32,245.916,255.42,207.9,481.14,2446.284,2703,0.905025527192009
"Crown Hill",219,240,234,231,234,228,195,240,306,294,249,177,201,468,3519,188.604,188.958,183.924,196.992,179.4,220.8,281.52,270.48,230.112,175.23,198.99,463.32,2778.33,3057,0.908842001962709
"Lake Pupuke",231,243,279,309,270,252,258,309,321,393,381,318,414,1212,5196,224.874,252.762,212.22,217.728,237.36,284.28,295.32,361.56,320.796,314.82,409.86,1199.88,4331.46,4716,0.918460559796438
"Westlake",249,267,312,315,342,333,375,351,342,357,321,252,210,1206,5238,251.472,257.67,268.812,287.712,345,322.92,314.64,328.44,300.744,249.48,207.9,1193.94,4328.73,4716,0.917881679389313
"Takapuna Central",117,111,123,168,195,210,216,174,198,216,234,240,279,666,3144,99.138,137.424,153.27,181.44,198.72,160.08,182.16,198.72,177.876,237.6,276.21,659.34,2661.978,2919,0.911948612538541
"Hauraki",390,345,309,369,420,381,384,387,444,426,402,429,342,813,5847,249.054,301.842,330.12,329.184,353.28,356.04,408.48,391.92,344.268,424.71,338.58,804.87,4632.348,5106,0.907236192714454
"Seacliffe",267,222,240,267,255,195,219,255,258,264,207,198,183,444,3471,193.44,218.406,200.43,168.48,201.48,234.6,237.36,242.88,209.304,196.02,181.17,439.56,2723.13,2985,0.91227135678392
"Bayswater",207,183,201,204,174,141,144,153,180,201,207,144,117,255,2505,162.006,166.872,136.764,121.824,132.48,140.76,165.6,184.92,193.86,142.56,115.83,252.45,1915.926,2121,0.903312588401697
"Kaipatiki",381,252,258,294,381,393,453,375,360,285,297,243,171,420,4563,207.948,240.492,299.466,339.552,416.76,345,331.2,262.2,266.112,240.57,169.29,415.8,3534.39,3930,0.899335877862596
"Windy Ridge",327,252,204,201,264,327,351,315,282,249,171,213,159,312,3627,164.424,164.418,207.504,282.528,322.92,289.8,259.44,229.08,175.176,210.87,157.41,308.88,2772.45,3048,0.909596456692913
"Glenfield Central",288,264,288,330,402,342,393,348,387,324,315,270,210,618,4791,232.128,269.94,315.972,295.488,361.56,320.16,356.04,298.08,287.928,267.3,207.9,611.82,3824.316,4227,0.904735273243435
"Glenfield North",327,249,264,285,336,348,396,351,342,315,282,237,162,411,4308,212.784,233.13,264.096,300.672,364.32,322.92,314.64,289.8,260.208,234.63,160.38,406.89,3364.47,3729,0.902244569589702
"Glendhu",480,363,312,381,453,465,513,474,414,420,309,270,201,450,5511,251.472,311.658,356.058,401.76,471.96,436.08,380.88,386.4,294.12,267.3,198.99,445.5,4202.178,4662,0.901368082368083
"Witheford",240,174,156,201,258,327,315,264,219,201,210,183,153,237,3132,125.736,164.418,202.788,282.528,289.8,242.88,201.48,184.92,177.696,181.17,151.47,234.63,2439.516,2724,0.895563876651982
"Target Road",519,384,351,426,591,600,654,474,531,498,450,318,282,570,6651,282.906,348.468,464.526,518.4,601.68,436.08,488.52,458.16,387.396,314.82,279.18,564.3,5144.436,5745,0.89546318537859
"Forrest Hill",330,318,411,510,459,387,351,345,483,492,396,267,207,780,5739,331.266,417.18,360.774,334.368,322.92,317.4,444.36,452.64,381.348,264.33,204.93,772.2,4603.716,5088,0.904818396226415
"Sunnynook",456,444,459,549,507,507,510,480,543,531,438,351,312,618,6711,369.954,449.082,398.502,438.048,469.2,441.6,499.56,488.52,423.54,347.49,308.88,611.82,5246.196,5805,0.903737467700258
"Monarch Park",360,303,261,309,333,342,402,372,399,303,321,294,282,585,4857,210.366,252.762,261.738,295.488,369.84,342.24,367.08,278.76,280.548,291.06,279.18,579.15,3808.212,4203,0.906069950035689
"Sunnybrae",177,171,189,174,264,237,243,249,237,243,204,171,150,486,3198,152.334,142.332,207.504,204.768,223.56,229.08,218.04,223.56,187.452,169.29,148.5,481.14,2587.56,2847,0.908872497365648
"Albany",174,168,183,246,345,300,222,198,240,225,207,153,123,276,3054,147.498,201.228,271.17,259.2,204.24,182.16,220.8,207,186.732,151.47,121.77,273.24,2426.508,2718,0.892754966887417
"Fairview",198,180,156,186,231,300,249,183,195,204,183,141,102,426,2928,125.736,152.148,181.566,259.2,229.08,168.36,179.4,187.68,162.792,139.59,100.98,421.74,2308.272,2556,0.903079812206573
"Northcross",318,276,300,309,429,432,369,327,357,327,282,204,141,447,4509,241.8,252.762,337.194,373.248,339.48,300.84,328.44,300.84,274.464,201.96,139.59,442.53,3533.148,3924,0.900394495412844
"Unsworth Heights",369,324,351,384,387,414,411,357,384,420,402,333,294,570,5403,282.906,314.112,304.182,357.696,378.12,328.44,353.28,386.4,360.9,329.67,291.06,564.3,4251.066,4707,0.903137029955386
"Pinehill",249,225,300,342,360,351,300,219,321,321,291,234,159,282,3954,241.8,279.756,282.96,303.264,276,201.48,295.32,295.32,279.432,231.66,157.41,279.18,3123.582,3480,0.897581034482759
"Windsor Park",72,96,102,150,156,99,102,81,132,120,123,123,90,456,1905,82.212,122.7,122.616,85.536,93.84,74.52,121.44,110.4,108.288,121.77,89.1,451.44,1583.862,1734,0.913415224913495
"North Harbour West",357,381,411,525,405,318,330,327,507,423,360,252,183,426,5202,331.266,429.45,318.33,274.752,303.6,300.84,466.44,389.16,361.476,249.48,181.17,421.74,4027.704,4467,0.901657488247146
"North Harbour East",198,204,219,252,288,273,273,225,273,273,297,264,231,510,3774,176.514,206.136,226.368,235.872,251.16,207,251.16,251.16,250.668,261.36,228.69,504.9,3050.988,3378,0.903193605683837
"Long Bay",36,45,75,81,60,33,42,39,66,84,78,72,57,105,885,60.45,66.258,47.16,28.512,38.64,35.88,60.72,77.28,72.756,71.28,56.43,103.95,719.316,792,0.908227272727273
"Paremoremo East",144,168,174,201,219,132,156,186,258,285,246,150,105,171,2601,140.244,164.418,172.134,114.048,143.52,171.12,237.36,262.2,204.696,148.5,103.95,169.29,2031.48,2283,0.889829172141919
"Greenhithe",534,747,777,669,525,372,378,603,864,798,675,471,399,612,8424,626.262,547.242,412.65,321.408,347.76,554.76,794.88,734.16,680.292,466.29,395.01,605.88,6486.594,7143,0.908104997900042
"Narrow Neck",270,249,282,261,222,156,177,276,291,291,306,243,168,528,3723,227.292,213.498,174.492,134.784,162.84,253.92,267.72,267.72,280.584,240.57,166.32,522.72,2912.46,3201,0.909859418931584
"Mt Victoria",285,399,423,339,255,213,198,306,429,474,447,375,381,810,5340,340.938,277.302,200.43,184.032,182.16,281.52,394.68,436.08,414.252,371.25,377.19,801.9,4261.734,4650,0.916501935483871
"Stanley Bay",129,195,162,255,192,69,63,132,174,186,192,117,111,216,2190,130.572,208.59,150.912,59.616,57.96,121.44,160.08,171.12,170.136,115.83,109.89,213.84,1669.986,1869,0.893518459069021
"Ocean View",288,291,207,282,378,342,369,330,330,279,267,246,198,690,4500,166.842,230.676,297.108,295.488,339.48,303.6,303.6,256.68,229.356,243.54,196.02,683.1,3545.49,3918,0.904923430321593
"Tuff Crater",294,240,219,387,414,354,294,246,222,261,234,216,201,816,4395,176.514,316.566,325.404,305.856,270.48,226.32,204.24,240.12,215.892,213.84,198.99,807.84,3502.062,3864,0.906330745341615
"Northcote South",339,246,213,207,297,306,315,339,345,282,291,255,228,591,4254,171.678,169.326,233.442,264.384,289.8,311.88,317.4,259.44,244.98,252.45,225.72,585.09,3325.59,3669,0.906402289452167
"Beachhaven North",501,396,342,345,390,396,435,492,462,375,330,249,195,537,5442,275.652,282.21,306.54,342.144,400.2,452.64,425.04,345,317.592,246.51,193.05,531.63,4118.208,4548,0.905498680738786
"Beachhaven South",366,312,330,333,300,270,345,399,390,342,303,243,258,507,4695,265.98,272.394,235.8,233.28,317.4,367.08,358.8,314.64,297.936,240.57,255.42,501.93,3661.23,4020,0.910753731343284
"Birkdale North",252,216,219,204,180,222,282,237,243,210,162,141,105,342,3018,176.514,166.872,141.48,191.808,259.44,218.04,223.56,193.2,176.148,139.59,103.95,338.58,2329.182,2547,0.914480565371025
"Birkdale South",417,264,264,285,276,273,450,369,354,276,249,177,132,378,4164,212.784,233.13,216.936,235.872,414,339.48,325.68,253.92,241.992,175.23,130.68,374.22,3153.924,3483,0.905519379844961
"Kauri Park",267,240,186,231,288,303,339,348,351,279,243,189,180,435,3879,149.916,188.958,226.368,261.792,311.88,320.16,322.92,256.68,207.792,187.11,178.2,430.65,3042.426,3372,0.902261565836299
"Chelsea",210,219,216,228,264,273,237,231,282,282,291,279,282,540,3831,174.096,186.504,207.504,235.872,218.04,212.52,259.44,259.44,246.168,276.21,279.18,534.6,3089.574,3405,0.907363876651982
"Birkenhead East",246,264,222,246,294,246,261,294,339,345,294,267,255,585,4158,178.932,201.228,231.084,212.544,240.12,270.48,311.88,317.4,250.2,264.33,252.45,579.15,3309.798,3648,0.907291118421053
"Henderson North",384,312,327,402,363,360,357,309,390,369,393,321,246,1311,5850,263.562,328.836,285.318,311.04,328.44,284.28,358.8,339.48,346.428,317.79,243.54,1297.89,4705.404,5148,0.914025641025641
"Henderson South",393,336,318,402,318,315,309,303,315,324,324,255,195,528,4632,256.308,328.836,249.948,272.16,284.28,278.76,289.8,298.08,304.776,252.45,193.05,522.72,3531.168,3906,0.904036866359447
"Tangutu",285,240,219,243,222,219,255,264,249,204,210,144,162,228,3138,176.514,198.774,174.492,189.216,234.6,242.88,229.08,187.68,202.644,142.56,160.38,225.72,2364.54,2619,0.902840778923253
"Woodglen",444,384,324,324,330,312,393,384,363,318,282,225,144,336,4566,261.144,265.032,259.38,269.568,361.56,353.28,333.96,292.56,283.968,222.75,142.56,332.64,3378.402,3735,0.904525301204819
"Glen Eden East",591,450,459,480,471,543,567,534,540,483,468,393,285,750,7011,369.954,392.64,370.206,469.152,521.64,491.28,496.8,444.36,440.1,389.07,282.15,742.5,5409.852,5973,0.905717729784028
"New Lynn North",255,141,111,162,216,213,255,198,204,153,195,126,90,261,2583,89.466,132.516,169.776,184.032,234.6,182.16,187.68,140.76,151.596,124.74,89.1,258.39,1944.816,2184,0.890483516483516
"New Lynn South",225,171,135,150,216,234,243,195,216,180,189,177,144,282,2748,108.81,122.7,169.776,202.176,223.56,179.4,198.72,165.6,157.788,175.23,142.56,279.18,2125.5,2361,0.900254129606099
"Lynnmall",150,132,105,126,204,267,240,177,156,159,135,135,99,195,2280,84.63,103.068,160.344,230.688,220.8,162.84,143.52,146.28,116.1,133.65,98.01,193.05,1792.98,1998,0.897387387387387
"Fruitvale",387,255,258,264,309,348,399,324,345,303,258,240,213,561,4461,207.948,215.952,242.874,300.672,367.08,298.08,317.4,278.76,244.584,237.6,210.87,555.39,3477.21,3822,0.909788069073783
"Rewarewa",345,309,228,276,282,312,360,327,333,321,249,210,201,633,4383,183.768,225.768,221.652,269.568,331.2,300.84,306.36,295.32,227.736,207.9,198.99,626.67,3395.772,3732,0.909906752411576
"Glendene North",345,288,297,321,330,348,312,300,309,315,291,273,195,510,4434,239.382,262.578,259.38,300.672,287.04,276,284.28,289.8,278.244,270.27,193.05,504.9,3445.596,3801,0.906497237569061
"Glendene South",204,213,192,210,195,192,198,186,183,183,198,159,132,252,2697,154.752,171.78,153.27,165.888,182.16,171.12,168.36,168.36,185.328,157.41,130.68,249.48,2058.588,2280,0.902889473684211
"Kelston Central",384,351,369,396,357,270,288,303,360,312,285,207,165,405,4452,297.414,323.928,280.602,233.28,264.96,278.76,331.2,287.04,303.444,204.93,163.35,400.95,3369.858,3717,0.906606941081517
"Sunnyvale",318,294,249,285,276,303,318,261,291,258,249,246,204,411,3960,200.694,233.13,216.936,261.792,292.56,240.12,267.72,237.36,236.052,243.54,201.96,406.89,3038.754,3351,0.906820053715309
"Kaurilands",240,264,246,231,189,117,189,276,282,273,237,186,138,294,3162,198.276,188.958,148.554,101.088,173.88,253.92,259.44,251.16,228.24,184.14,136.62,291.06,2415.336,2658,0.908704288939052
"Crum Park",300,270,249,255,222,180,243,312,348,291,309,240,210,453,3882,200.694,208.59,174.492,155.52,223.56,287.04,320.16,267.72,269.172,237.6,207.9,448.47,3000.918,3312,0.906074275362319
"Titirangi South",222,246,225,219,165,114,168,252,351,366,306,216,189,432,3468,181.35,179.142,129.69,98.496,154.56,231.84,322.92,336.72,258.012,213.84,187.11,427.68,2721.36,3003,0.906213786213786
"Green Bay",225,234,222,255,201,192,219,255,297,279,267,213,174,1125,4155,178.932,208.59,157.986,165.888,201.48,234.6,273.24,256.68,235.296,210.87,172.26,1113.75,3409.572,3699,0.921755068937551
"Matipo",294,213,195,165,171,162,261,261,228,225,174,150,135,378,3021,157.17,134.97,134.406,139.968,240.12,240.12,209.76,207,173.268,148.5,133.65,374.22,2293.152,2505,0.915429940119761
"Durham Green",417,312,303,279,306,264,381,381,324,324,297,240,198,519,4542,244.218,228.222,240.516,228.096,350.52,350.52,298.08,298.08,283.932,237.6,196.02,513.81,3469.614,3816,0.909227987421384
"Te Atatu Central",492,321,294,294,315,297,393,408,405,387,282,261,213,564,4923,236.964,240.492,247.59,256.608,361.56,375.36,372.6,356.04,272.088,258.39,210.87,558.36,3746.922,4113,0.910994894237783
"Edmonton",270,222,216,210,276,252,291,273,237,243,210,204,135,417,3459,174.096,171.78,216.936,217.728,267.72,251.16,218.04,223.56,201.456,201.96,133.65,412.83,2690.916,2964,0.907866396761134
"Wakeling",273,249,243,261,282,276,276,282,276,282,279,240,186,471,3873,195.858,213.498,221.652,238.464,253.92,259.44,253.92,259.44,250.236,237.6,184.14,466.29,3034.458,3354,0.904728085867621
"Mcleod",549,435,393,417,417,471,519,459,495,420,393,288,306,747,6306,316.758,341.106,327.762,406.944,477.48,422.28,455.4,386.4,372.564,285.12,302.94,739.53,4834.284,5325,0.90784676056338
"Konini",252,270,285,237,180,159,207,261,330,285,270,234,180,339,3492,229.71,193.866,141.48,137.376,190.44,240.12,303.6,262.2,261.9,231.66,178.2,335.61,2706.162,2967,0.912086956521739
"Waima",231,210,168,156,105,75,120,255,273,192,198,171,126,159,2433,135.408,127.608,82.53,64.8,110.4,234.6,251.16,176.64,175.824,169.29,124.74,157.41,1810.41,1998,0.906111111111111
"Laingholm",198,210,192,138,108,75,138,213,270,237,186,153,144,174,2442,154.752,112.884,84.888,64.8,126.96,195.96,248.4,218.04,178.704,151.47,142.56,172.26,1851.678,2028,0.913056213017752
"Armour Bay",39,36,33,27,24,15,30,33,42,51,39,42,27,33,471,26.598,22.086,18.864,12.96,27.6,30.36,38.64,46.92,34.596,41.58,26.73,32.67,359.604,396,0.908090909090909
"Otimai",168,249,228,216,171,102,108,183,291,294,249,198,180,342,2979,183.768,176.688,134.406,88.128,99.36,168.36,267.72,270.48,227.736,196.02,178.2,338.58,2329.446,2562,0.909229508196721
"Parrs Park West",237,174,156,159,201,198,174,132,156,135,135,105,66,108,2142,125.736,130.062,157.986,171.072,160.08,121.44,143.52,124.2,136.296,103.95,65.34,106.92,1546.602,1725,0.896580869565217
"Parrs Park",117,123,135,123,120,87,90,117,129,78,66,63,36,81,1362,108.81,100.614,94.32,75.168,82.8,107.64,118.68,71.76,89.892,62.37,35.64,80.19,1027.884,1125,0.913674666666667
"Oratia West",21,9,9,9,21,18,12,12,9,18,18,6,12,48,225,7.254,7.362,16.506,15.552,11.04,11.04,8.28,16.56,13.5,5.94,11.88,47.52,172.434,192,0.89809375
"Oratia",339,288,294,264,237,216,240,240,240,231,216,129,117,375,3432,236.964,215.952,186.282,186.624,220.8,220.8,220.8,212.52,235.656,127.71,115.83,371.25,2551.188,2799,0.9114640943194
"Henderson West",135,150,153,195,162,153,132,138,159,165,168,138,114,234,2199,123.318,159.51,127.332,132.192,121.44,126.96,146.28,151.8,153.324,136.62,112.86,231.66,1723.296,1911,0.901777080062794
"Palm Heights",192,192,204,228,174,144,153,186,204,201,156,150,126,189,2499,164.424,186.504,136.764,124.416,140.76,171.12,187.68,184.92,166.896,148.5,124.74,187.11,1923.834,2115,0.909614184397163
"McLaren Park",291,243,219,210,234,258,201,204,189,192,198,138,117,261,2955,176.514,171.78,183.924,222.912,184.92,187.68,173.88,176.64,196.02,136.62,115.83,258.39,2185.11,2421,0.902565055762082
"Opanuku",111,123,126,183,114,78,111,144,174,204,204,153,150,210,2088,101.556,149.694,89.604,67.392,102.12,132.48,160.08,187.68,162.504,151.47,148.5,207.9,1660.98,1851,0.897341977309563
"Swanson",99,99,99,81,93,63,87,99,102,108,105,63,60,102,1263,79.794,66.258,73.098,54.432,80.04,91.08,93.84,99.36,97.164,62.37,59.4,100.98,957.816,1062,0.901898305084746
"Swanson South",69,66,81,87,84,48,51,69,84,84,117,96,75,132,1143,65.286,71.166,66.024,41.472,46.92,63.48,77.28,77.28,96.66,95.04,74.25,130.68,905.538,1008,0.89835119047619
"Urlich",237,207,171,174,183,156,150,153,171,114,129,114,126,216,2310,137.826,142.332,143.838,134.784,138,140.76,157.32,104.88,138.924,112.86,124.74,213.84,1690.104,1857,0.910126009693053
"Starling Park",315,267,231,234,201,222,252,234,177,138,159,123,96,159,2817,186.186,191.412,157.986,191.808,231.84,215.28,162.84,126.96,179.244,121.77,95.04,157.41,2017.776,2226,0.906458221024259
"Ranui Domain",342,234,231,264,216,204,207,213,219,225,195,138,120,288,3096,186.186,215.952,169.776,176.256,190.44,195.96,201.48,207,199.116,136.62,118.8,285.12,2282.706,2520,0.905835714285714
"Ranui South",312,276,255,240,237,207,195,222,246,201,174,138,111,216,3030,205.53,196.32,186.282,178.848,179.4,204.24,226.32,184.92,197.028,136.62,109.89,213.84,2219.238,2442,0.90877886977887
"Sturges North",492,513,555,501,444,420,447,522,612,477,477,390,333,792,6972,447.33,409.818,348.984,362.88,411.24,480.24,563.04,438.84,483.084,386.1,329.67,784.08,5445.306,5970,0.912111557788945
"Kingdale",354,309,270,294,294,339,294,255,270,231,225,174,150,342,3801,217.62,240.492,231.084,292.896,270.48,234.6,248.4,212.52,231.12,172.26,148.5,338.58,2838.552,3138,0.90457361376673
"Fairdene",411,354,321,399,324,291,327,342,327,339,294,237,213,537,4710,258.726,326.382,254.664,251.424,300.84,314.64,300.84,311.88,289.404,234.63,210.87,531.63,3585.93,3951,0.907600607441154
"Whenuapai West",144,120,123,147,210,171,168,150,159,159,147,105,87,144,2037,99.138,120.246,165.06,147.744,154.56,138,146.28,146.28,129.852,103.95,86.13,142.56,1579.8,1770,0.892542372881356
"Herald",84,111,135,126,105,84,63,87,138,162,159,138,114,210,1713,108.81,103.068,82.53,72.576,57.96,80.04,126.96,149.04,141.228,136.62,112.86,207.9,1379.592,1521,0.907029585798817
"Hobsonville East",111,72,63,63,120,132,96,78,60,60,72,60,27,45,1059,50.778,51.534,94.32,114.048,88.32,71.76,55.2,55.2,64.692,59.4,26.73,44.55,776.532,876,0.886452054794521
"Hobsonville South",114,126,132,141,126,72,93,93,174,189,174,156,174,447,2205,106.392,115.338,99.036,62.208,85.56,85.56,160.08,173.88,148.32,154.44,172.26,442.53,1805.604,1971,0.916085235920852
"Westgate",90,93,90,75,78,66,99,90,102,105,66,69,57,270,1353,72.54,61.35,61.308,57.024,91.08,82.8,93.84,96.6,72.072,68.31,56.43,267.3,1080.654,1167,0.92601028277635
"Royal Road West",237,219,225,207,252,234,213,210,222,195,180,129,105,219,2856,181.35,169.326,198.072,202.176,195.96,193.2,204.24,179.4,188.46,127.71,103.95,216.81,2160.654,2391,0.903661229611042
"West Harbour",546,453,333,327,372,441,411,375,399,294,294,246,186,252,4929,268.398,267.486,292.392,381.024,378.12,345,367.08,270.48,294.156,243.54,184.14,249.48,3541.296,3930,0.901093129770992
